"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
15758,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",199,"Changamwe","","Kata","Location"
15759,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",200,"Miritini","","Kata","Location"
15760,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",201,"Rabai","","Kata","Location"
15761,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",202,"Ganjoni","","Kata","Location"
15762,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",203,"Majengo","","Kata","Location"
15763,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",204,"Old Town","","Kata","Location"
15764,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",205,"Railways/Shimanzi","","Kata","Location"
15765,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",206,"Tononoka","","Kata","Location"
15766,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",207,"Tudor","","Kata","Location"
15767,118,"KEN","Kenya",2,"Coast",10,"Mombasa",48,"Kisauni",208,"Bamburi","","Kata","Location"
15768,118,"KEN","Kenya",2,"Coast",10,"Mombasa",48,"Kisauni",209,"Kisauni","","Kata","Location"
15769,118,"KEN","Kenya",2,"Coast",10,"Mombasa",49,"Likoni",210,"Likoni","","Kata","Location"
15770,118,"KEN","Kenya",2,"Coast",10,"Mombasa",49,"Likoni",211,"Mtongwe","","Kata","Location"
15771,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",212,"Bura","","Kata","Location"
15772,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",213,"Chawia","","Kata","Location"
15773,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",214,"Mwatate","","Kata","Location"
15774,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",215,"Rong'e","","Kata","Location"
15775,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",51,"Taveta",216,"Chala","","Kata","Location"
15776,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",51,"Taveta",217,"Kimorigo","","Kata","Location"
15777,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",52,"Tsavo National Park (E&W)",218,"Tsavo National Park (E&W)","","Kata","Location"
15778,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",219,"Kasigau","","Kata","Location"
15779,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",220,"Mbololo","","Kata","Location"
15780,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",221,"Sagala","","Kata","Location"
15781,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",222,"Voi","","Kata","Location"
15782,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",223,"Mbale","","Kata","Location"
15783,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",224,"Mwanda","","Kata","Location"
15784,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",225,"Werugha","","Kata","Location"
15785,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",226,"Wumingu","","Kata","Location"
15786,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",227,"Wundanyi","","Kata","Location"
15787,118,"KEN","Kenya",2,"Coast",12,"Tana River",55,"Bura",228,"Bura","","Kata","Location"
15788,118,"KEN","Kenya",2,"Coast",12,"Tana River",55,"Bura",229,"Chewele","","Kata","Location"
15789,118,"KEN","Kenya",2,"Coast",12,"Tana River",55,"Bura",230,"Nanighi","","Kata","Location"
15790,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",231,"Gwano","","Kata","Location"
15791,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",232,"Kinakomba","","Kata","Location"
15792,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",233,"Milalulu","","Kata","Location"
15793,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",234,"Ndura","","Kata","Location"
15794,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",235,"Wayu","","Kata","Location"
15795,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole",236,"Zubaki","","Kata","Location"
