"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43161,118,"KEN","Kenya",7,"Rift Valley",36,"Laikipia",193,"Ng'arua","","","Tarafa|Taarafa","Division"
43162,118,"KEN","Kenya",7,"Rift Valley",36,"Laikipia",194,"Rumuruti","","","Tarafa|Taarafa","Division"
43163,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",195,"Bahati","","","Tarafa|Taarafa","Division"
43164,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",196,"Central","","","Tarafa|Taarafa","Division"
43165,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",197,"Gilgil","","","Tarafa|Taarafa","Division"
43166,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",198,"Loitokitok","","","Tarafa|Taarafa","Division"
43167,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",199,"Magadi","","","Tarafa|Taarafa","Division"
43168,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",200,"Mbogoini","","","Tarafa|Taarafa","Division"
43169,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",201,"Molo","","","Tarafa|Taarafa","Division"
43170,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",202,"Municipality","","","Tarafa|Taarafa","Division"
43171,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",203,"Naivasha","","","Tarafa|Taarafa","Division"
43172,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",204,"Ngong","","","Tarafa|Taarafa","Division"
43173,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",205,"Njoro","","","Tarafa|Taarafa","Division"
43174,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",206,"Olenguruone","","","Tarafa|Taarafa","Division"
43175,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru",207,"Rongai","","","Tarafa|Taarafa","Division"
43176,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi",208,"Aldai","","","Tarafa|Taarafa","Division"
43177,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi",209,"Kapsabet","","","Tarafa|Taarafa","Division"
43178,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi",210,"Kilibwoni","","","Tarafa|Taarafa","Division"
43179,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi",211,"Mosop","","","Tarafa|Taarafa","Division"
43180,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi",212,"Tindiret","","","Tarafa|Taarafa","Division"
43181,118,"KEN","Kenya",7,"Rift Valley",39,"Narok",213,"Kilgoris","","","Tarafa|Taarafa","Division"
43182,118,"KEN","Kenya",7,"Rift Valley",39,"Narok",214,"Lolgorian","","","Tarafa|Taarafa","Division"
43183,118,"KEN","Kenya",7,"Rift Valley",39,"Narok",215,"Mau","","","Tarafa|Taarafa","Division"
43184,118,"KEN","Kenya",7,"Rift Valley",39,"Narok",216,"Olokurto","","","Tarafa|Taarafa","Division"
43185,118,"KEN","Kenya",7,"Rift Valley",39,"Narok",217,"Osupuko","","","Tarafa|Taarafa","Division"
43186,118,"KEN","Kenya",7,"Rift Valley",40,"Samburu",218,"Baragoi","","","Tarafa|Taarafa","Division"
43187,118,"KEN","Kenya",7,"Rift Valley",40,"Samburu",219,"Lorroki","","","Tarafa|Taarafa","Division"
